module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
SpecLite SDLC,_meta,,,,,,,,,false,,
SpecLite SDLC,speclite-document-project,Document Project,DP,Analyze an existing project to produce useful documentation.,,,anytime,,,false,{project_knowledge},*
SpecLite SDLC,speclite-generate-project-context,Generate Project Context,GPC,Scan existing codebase to generate a lean LLM-optimized project-context.md. Essential for brownfield projects.,,,anytime,,,false,{output_folder},project context
SpecLite SDLC,speclite-quick-dev,Quick Dev,QQ,Unified intent-in code-out workflow: clarify plan implement review and present.,,,anytime,,,false,{implementation_artifacts},spec and project implementation
SpecLite SDLC,speclite-correct-course,Correct Course,CC,Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories.,,,anytime,,,false,{planning_artifacts},change proposal
SpecLite SDLC,speclite-agent-docs-steward,SpecLite Agent Docs Steward,ODS,Activate Sarah for open-source docs architecture governance writing dispatch and quality validation.,,,anytime,,,false,{project_knowledge},docs architecture guidance
SpecLite SDLC,speclite-write-opensource-docs,SpecLite Write OpenSource Docs,OSD,Write scaffold migrate and validate open-source project docs across tutorials how-to explanation reference glossary index and style guide.,,,anytime,,,false,{project_knowledge},open-source docs
SpecLite SDLC,speclite-agent-tech-writer,Write Document,WD,"Describe in detail what you want, and the agent will follow documentation best practices. Multi-turn conversation with subprocess for research/review.",write,,anytime,,,false,{project_knowledge},document
SpecLite SDLC,speclite-agent-tech-writer,Update Standards,US,Update agent memory documentation-standards.md with your specific preferences if you discover missing document conventions.,update-standards,,anytime,,,false,{project-root}/_speclite/_memory/tech-writer-sidecar,standards
SpecLite SDLC,speclite-agent-tech-writer,Mermaid Generate,MG,Create a Mermaid diagram based on user description. Will suggest diagram types if not specified.,mermaid,,anytime,,,false,{planning_artifacts},mermaid diagram
SpecLite SDLC,speclite-agent-tech-writer,Validate Document,VD,Review the specified document against documentation standards and best practices. Returns specific actionable improvement suggestions organized by priority.,validate,[path],anytime,,,false,{planning_artifacts},validation report
SpecLite SDLC,speclite-agent-tech-writer,Explain Concept,EC,Create clear technical explanations with examples and diagrams for complex concepts.,explain,[topic],anytime,,,false,{project_knowledge},explanation
SpecLite SDLC,speclite-agent-analyst,Business Analyst,BA,Activate Alice for analysis phase requirements research and product discovery guidance.,,,1-analysis,,,false,,
SpecLite SDLC,speclite-market-research,Market Research,MR,Market analysis competitive landscape customer needs and trends.,,,1-analysis,,,false,{planning_artifacts}|{project_knowledge},research documents
SpecLite SDLC,speclite-domain-research,Domain Research,DR,Industry domain deep dive subject matter expertise and terminology.,,,1-analysis,,,false,{planning_artifacts}|{project_knowledge},research documents
SpecLite SDLC,speclite-technical-research,Technical Research,TR,Technical feasibility architecture options and implementation approaches.,,,1-analysis,,,false,{planning_artifacts}|{project_knowledge},research documents
SpecLite SDLC,speclite-brownfield-context-builder,Brownfield Baseline,BB,Recover an existing codebase into evidence-backed as-is baseline and planning handoff context for downstream Speclite workflows.,,,1-analysis,,,false,{project_knowledge}/brownfield|{planning_artifacts},brownfield baseline and planning brief
SpecLite SDLC,speclite-brownfield-backend-tech-stack-digger,Backend Tech Stack,BTS,Analyze brownfield backend projects from code facts and write an evidence-linked technology stack report.,,,1-analysis,,,false,{project_knowledge}/brownfield|{planning_artifacts},backend tech stack report
SpecLite SDLC,speclite-brownfield-java-springboot-backend-tech-stack-digger,Java Backend Tech Stack,BJS,Analyze Java and Spring Boot backend projects from code facts and write an evidence-linked technology stack report.,,,1-analysis,speclite-brownfield-backend-tech-stack-digger,,false,{project_knowledge}/brownfield|{planning_artifacts},java backend tech stack report
SpecLite SDLC,speclite-brownfield-nodejs-backend-tech-stack-digger,Node.js Backend Tech Stack,BNS,Analyze Node.js backend projects from code facts and write an evidence-linked technology stack report.,,,1-analysis,speclite-brownfield-backend-tech-stack-digger,,false,{project_knowledge}/brownfield|{planning_artifacts},nodejs backend tech stack report
SpecLite SDLC,speclite-brownfield-python-backend-tech-stack-digger,Python Backend Tech Stack,BPS,Analyze Python backend projects from code facts and write an evidence-linked technology stack report.,,,1-analysis,speclite-brownfield-backend-tech-stack-digger,,false,{project_knowledge}/brownfield|{planning_artifacts},python backend tech stack report
SpecLite SDLC,speclite-product-brief,Create Brief,CB,An expert guided experience to nail down your product idea in a brief. A gentler approach than PRFAQ when you are already sure of your concept and nothing will sway you.,,-A,1-analysis,,,false,{planning_artifacts},product brief
SpecLite SDLC,speclite-prfaq,PRFAQ Challenge,WB,Working Backwards guided experience to forge and stress-test your product concept to ensure you have a great product that users will love and need through the PRFAQ gauntlet to determine feasibility and alignment with user needs. Alternative to product brief.,,-H,1-analysis,,,false,{planning_artifacts},prfaq document
SpecLite SDLC,speclite-create-prd,Create PRD,CP,Expert led facilitation to produce your Product Requirements Document.,,,2-planning,,,true,{planning_artifacts},prd
SpecLite SDLC,speclite-validate-prd,Validate PRD,VP,,,[path],2-planning,speclite-create-prd,,false,{planning_artifacts},prd validation report
SpecLite SDLC,speclite-edit-prd,Edit PRD,EP,,,[path],2-planning,speclite-validate-prd,,false,{planning_artifacts},updated prd
SpecLite SDLC,speclite-create-ux-design,Create UX,CU,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project.",,,2-planning,speclite-create-prd,,false,{planning_artifacts},ux design
SpecLite SDLC,speclite-agent-pm,Product Manager,PM,Activate Paul for PRD requirements discovery and planning guidance.,,,2-planning,,,false,,
SpecLite SDLC,speclite-agent-ux-designer,UX Designer,UX,Activate Uma for UX design interface planning and user-centered constraints.,,,2-planning,,,false,,
SpecLite SDLC,speclite-agent-architect,Solution Architect,ARCH,Activate Adam for architecture solutioning tradeoffs and readiness alignment.,,,3-solutioning,,,false,,
SpecLite SDLC,speclite-create-architecture,Create Architecture,CA,Guided workflow to document technical decisions.,,,3-solutioning,,,true,{planning_artifacts},architecture
SpecLite SDLC,speclite-create-epics-and-stories,Create Epics and Stories,CE,,,,3-solutioning,speclite-create-architecture,,true,{planning_artifacts},epics and stories
SpecLite SDLC,speclite-story-review-01-reviewer,Story Review,SR,Run numbered Story Review round for an epic or story and save structured review results.,,,3-solutioning,speclite-create-epics-and-stories,speclite-story-review-02-evaluator,false,{implementation_artifacts}/story-reviews,story review summary
SpecLite SDLC,speclite-story-review-02-evaluator,Story Review Evaluate,SRE,Evaluate a numbered Story Review result and generate an assessment document.,,,3-solutioning,speclite-story-review-01-reviewer,speclite-story-review-03-fixer,false,{implementation_artifacts}/story-reviews,story review evaluation
SpecLite SDLC,speclite-story-review-03-fixer,Story Review Fix,SRF,Apply approved Story Review fixes to story documents and record the fix summary.,,,3-solutioning,speclite-story-review-02-evaluator,,false,{implementation_artifacts}/story-reviews,updated story documents
SpecLite SDLC,speclite-check-implementation-readiness,Check Implementation Readiness,IR,Ensure PRD UX Architecture and Epics Stories are aligned.,,,3-solutioning,speclite-create-epics-and-stories,,true,{planning_artifacts},readiness report
SpecLite SDLC,speclite-sprint-planning,Sprint Planning,SP,Kicks off implementation by producing a plan the implementation agents will follow in sequence for every story.,,,4-implementation,,,true,{implementation_artifacts},sprint status
SpecLite SDLC,speclite-sprint-status,Sprint Status,SS,Anytime: Summarize sprint status and route to next workflow.,,,4-implementation,speclite-sprint-planning,,false,,
SpecLite SDLC,speclite-flow-gate,Flow Gate,FG,Validate Story and Epic flow gates before state transitions.,,,4-implementation,speclite-sprint-status,speclite-dev-story,true,{implementation_artifacts}/flow-gates,flow gate report
SpecLite SDLC,speclite-agent-dev,Developer Agent,DEV,Activate David for Story implementation test-first execution and code delivery guidance.,,,4-implementation,,,false,,
SpecLite SDLC,speclite-create-story,Create Story,CS,Story cycle start: Prepare first found story in the sprint plan that is next or a specific epic/story designation.,create,,4-implementation,speclite-sprint-planning,speclite-create-story:validate,true,{implementation_artifacts}/stories,story
SpecLite SDLC,speclite-create-story,Validate Story,VS,Validates story readiness and completeness before development work begins.,validate,,4-implementation,speclite-create-story:create,speclite-dev-story,false,{implementation_artifacts},story validation report
SpecLite SDLC,speclite-dev-story,Dev Story,DS,Story cycle: Execute story implementation tasks and tests then CR1/CR2 and CR3 if fixes are needed.,,,4-implementation,speclite-create-story:validate,,true,,
SpecLite SDLC,speclite-code-review-01-reviewer,Code Review Round,CR1,Run numbered cross-LLM code review for a Story and save structured review results.,,,4-implementation,speclite-dev-story,speclite-code-review-02-evaluator,false,{implementation_artifacts}/code-reviews,code review summary
